	resolutie
0	session-1709-07-11-ordinaris-num-1-resolution-66
1	session-1785-04-19-ordinaris-num-1-resolution-31
2	session-1723-02-25-ordinaris-num-1-resolution-6
3	session-1778-06-22-ordinaris-num-1-resolution-5
4	session-1717-03-26-ordinaris-num-1-resolution-6
5	session-1728-08-02-ordinaris-num-1-resolution-2
6	session-1733-01-30-ordinaris-num-1-resolution-10
7	session-1786-09-04-ordinaris-num-1-resolution-18
8	session-1785-10-19-ordinaris-num-1-resolution-2
9	session-1720-11-02-ordinaris-num-1-resolution-3
10	session-1726-08-13-ordinaris-num-1-resolution-3
11	session-1718-11-15-ordinaris-num-1-resolution-11
12	session-1736-06-25-ordinaris-num-1-resolution-2
13	session-1750-08-07-ordinaris-num-1-resolution-8
14	session-1755-03-05-ordinaris-num-1-resolution-6
15	session-1744-07-23-ordinaris-num-1-resolution-3
16	session-1773-10-22-ordinaris-num-1-resolution-2
17	session-1775-07-25-ordinaris-num-1-resolution-6
18	session-1715-01-16-ordinaris-num-1-resolution-1
19	session-1761-07-21-ordinaris-num-1-resolution-8
20	session-1787-01-05-ordinaris-num-1-resolution-1
21	session-1786-02-27-ordinaris-num-1-resolution-22
22	session-1744-12-03-ordinaris-num-1-resolution-6
23	session-1706-04-19-ordinaris-num-1-resolution-30
24	session-1715-07-10-ordinaris-num-1-resolution-8
25	session-1789-08-03-ordinaris-num-1-resolution-3
26	session-1766-11-26-ordinaris-num-1-resolution-5
27	session-1720-06-27-ordinaris-num-1-resolution-5
28	session-1745-04-08-ordinaris-num-1-resolution-2
29	session-1741-06-03-ordinaris-num-1-resolution-3
30	session-1755-09-30-ordinaris-num-1-resolution-3
31	session-1709-07-11-ordinaris-num-1-resolution-91
32	session-1780-04-27-ordinaris-num-1-resolution-10
33	session-1735-12-27-ordinaris-num-1-resolution-6
34	session-1712-10-20-ordinaris-num-1-resolution-33
35	session-1790-04-13-ordinaris-num-1-resolution-2
36	session-1735-08-15-ordinaris-num-1-resolution-3
37	session-1741-04-14-ordinaris-num-1-resolution-6
38	session-1778-12-17-ordinaris-num-1-resolution-6
39	session-1705-07-17-ordinaris-num-1-resolution-18
40	session-1747-05-09-ordinaris-num-1-resolution-1
41	session-1719-05-15-ordinaris-num-1-resolution-14
42	session-1794-01-22-ordinaris-num-1-resolution-11
43	session-1706-09-30-ordinaris-num-1-resolution-5
44	session-1772-02-19-ordinaris-num-1-resolution-4
45	session-1760-05-14-ordinaris-num-1-resolution-9
46	session-1775-02-06-ordinaris-num-1-resolution-13
47	session-1776-10-14-ordinaris-num-1-resolution-11
48	session-1713-03-14-ordinaris-num-1-resolution-1
49	session-1783-06-11-ordinaris-num-1-resolution-5
50	session-1709-07-15-ordinaris-num-1-resolution-17
51	session-1706-03-09-ordinaris-num-1-resolution-11
52	session-1794-10-27-ordinaris-num-1-resolution-5
53	session-1711-05-26-ordinaris-num-1-resolution-14
54	session-1736-08-18-ordinaris-num-1-resolution-7
55	session-1774-02-08-ordinaris-num-1-resolution-6
56	session-1772-10-27-ordinaris-num-1-resolution-6
57	session-1754-04-22-ordinaris-num-1-resolution-11
58	session-1778-03-09-ordinaris-num-1-resolution-1
59	session-1752-06-26-ordinaris-num-1-resolution-1
60	session-1784-12-30-ordinaris-num-1-resolution-1
61	session-1786-03-31-ordinaris-num-1-resolution-22
62	session-1712-08-22-ordinaris-num-1-resolution-4
63	session-1759-09-07-ordinaris-num-1-resolution-1
64	session-1752-04-20-ordinaris-num-1-resolution-6
65	session-1721-03-26-ordinaris-num-1-resolution-1
66	session-1780-04-21-ordinaris-num-1-resolution-12
67	session-1760-02-19-ordinaris-num-1-resolution-1
68	session-1723-10-12-ordinaris-num-1-resolution-3
69	session-1791-02-18-ordinaris-num-1-resolution-5
70	session-1745-08-10-ordinaris-num-1-resolution-2
71	session-1750-10-09-ordinaris-num-1-resolution-9
72	session-1716-01-04-ordinaris-num-1-resolution-1
73	session-1782-07-11-ordinaris-num-1-resolution-2
74	session-1782-10-07-ordinaris-num-1-resolution-16
75	session-1732-08-07-ordinaris-num-1-resolution-4
76	session-1786-10-23-ordinaris-num-1-resolution-15
77	session-1786-02-15-ordinaris-num-1-resolution-4
78	session-1744-06-18-ordinaris-num-1-resolution-1
79	session-1708-04-24-ordinaris-num-1-resolution-9
80	session-1748-10-31-ordinaris-num-1-resolution-3
81	session-1709-08-16-ordinaris-num-1-resolution-6
82	session-1708-04-05-ordinaris-num-1-resolution-5
83	session-1720-03-13-ordinaris-num-1-resolution-10
84	session-1770-03-06-ordinaris-num-1-resolution-3
85	session-1720-04-22-ordinaris-num-1-resolution-10
86	session-1730-04-24-ordinaris-num-1-resolution-4
87	session-1742-09-25-ordinaris-num-1-resolution-7
88	session-1795-10-19-ordinaris-num-1-resolution-14
89	session-1775-08-17-ordinaris-num-1-resolution-14
90	session-1793-07-26-ordinaris-num-1-resolution-7
91	session-1790-10-25-ordinaris-num-1-resolution-1
92	session-1761-05-18-ordinaris-num-1-resolution-1
93	session-1709-03-04-ordinaris-num-1-resolution-20
94	session-1765-08-19-ordinaris-num-1-resolution-3
95	session-1712-03-04-ordinaris-num-1-resolution-15
96	session-1725-01-25-ordinaris-num-1-resolution-4
97	session-1784-11-25-ordinaris-num-1-resolution-8
98	session-1710-08-04-ordinaris-num-1-resolution-26
99	session-1709-04-15-ordinaris-num-1-resolution-18
100	session-1715-05-10-ordinaris-num-1-resolution-5
101	session-1787-02-12-ordinaris-num-1-resolution-8
102	session-1739-05-06-ordinaris-num-1-resolution-1
103	session-1774-08-08-ordinaris-num-1-resolution-9
104	session-1757-02-23-ordinaris-num-1-resolution-5
105	session-1791-09-26-ordinaris-num-1-resolution-3
106	session-1767-09-17-ordinaris-num-1-resolution-1
107	session-1728-05-13-ordinaris-num-1-resolution-9
108	session-1759-11-07-ordinaris-num-1-resolution-1
109	session-1795-12-07-ordinaris-num-1-resolution-29
110	session-1764-04-10-ordinaris-num-1-resolution-6
111	session-1755-05-02-ordinaris-num-1-resolution-3
112	session-1766-06-16-ordinaris-num-1-resolution-1
113	session-1739-06-29-ordinaris-num-1-resolution-1
114	session-1709-11-12-ordinaris-num-1-resolution-8
115	session-1706-07-06-ordinaris-num-1-resolution-18
116	session-1795-10-29-ordinaris-num-1-resolution-9
117	session-1783-06-10-ordinaris-num-1-resolution-3
118	session-1795-01-30-ordinaris-num-1-resolution-7
119	session-1738-08-16-ordinaris-num-1-resolution-13
120	session-1708-01-03-ordinaris-num-1-resolution-12
121	session-1764-03-05-ordinaris-num-1-resolution-3
122	session-1782-04-29-ordinaris-num-1-resolution-30
123	session-1743-01-04-ordinaris-num-1-resolution-2
124	session-1764-03-13-ordinaris-num-1-resolution-9
125	session-1782-02-18-ordinaris-num-1-resolution-38
126	session-1744-03-26-ordinaris-num-1-resolution-11
127	session-1749-10-02-ordinaris-num-1-resolution-3
128	session-1732-04-07-ordinaris-num-1-resolution-9
129	session-1708-07-02-ordinaris-num-1-resolution-12
130	session-1739-08-20-ordinaris-num-1-resolution-2
131	session-1754-05-08-ordinaris-num-1-resolution-7
132	session-1789-11-04-ordinaris-num-1-resolution-3
133	session-1777-08-28-ordinaris-num-1-resolution-5
134	session-1709-07-11-ordinaris-num-1-resolution-123
135	session-1742-10-12-ordinaris-num-1-resolution-5
136	session-1710-06-05-ordinaris-num-1-resolution-28
137	session-1720-03-18-ordinaris-num-1-resolution-10
138	session-1791-07-25-ordinaris-num-1-resolution-20
139	session-1775-01-12-ordinaris-num-1-resolution-4
140	session-1713-03-03-ordinaris-num-1-resolution-24
141	session-1724-05-05-ordinaris-num-1-resolution-2
142	session-1762-04-23-ordinaris-num-1-resolution-1
143	session-1708-01-31-ordinaris-num-1-resolution-14
144	session-1783-04-17-ordinaris-num-1-resolution-8
145	session-1741-01-03-ordinaris-num-1-resolution-4
146	session-1782-02-18-ordinaris-num-1-resolution-21
147	session-1732-01-29-ordinaris-num-1-resolution-2
148	session-1715-06-27-ordinaris-num-1-resolution-4
149	session-1785-05-02-ordinaris-num-1-resolution-20
150	session-1710-03-21-ordinaris-num-1-resolution-36
151	session-1748-04-03-ordinaris-num-1-resolution-5
152	session-1795-07-20-ordinaris-num-1-resolution-5
153	session-1717-02-25-ordinaris-num-1-resolution-5
154	session-1748-06-22-ordinaris-num-1-resolution-5
155	session-1746-08-15-ordinaris-num-1-resolution-2
156	session-1727-05-03-ordinaris-num-1-resolution-6
157	session-1708-06-19-ordinaris-num-1-resolution-1
158	session-1708-08-09-ordinaris-num-1-resolution-6
159	session-1708-06-04-ordinaris-num-1-resolution-13
160	session-1782-02-01-ordinaris-num-1-resolution-16
161	session-1723-03-30-ordinaris-num-1-resolution-14
162	session-1727-02-07-ordinaris-num-1-resolution-11
163	session-1725-04-12-ordinaris-num-1-resolution-5
164	session-1719-08-19-ordinaris-num-1-resolution-5
165	session-1748-06-05-ordinaris-num-1-resolution-6
166	session-1778-12-03-ordinaris-num-1-resolution-4
167	session-1712-03-25-ordinaris-num-1-resolution-26
168	session-1772-09-21-ordinaris-num-1-resolution-15
169	session-1739-02-16-ordinaris-num-1-resolution-3
170	session-1784-07-16-ordinaris-num-1-resolution-14
171	session-1771-01-08-ordinaris-num-1-resolution-3
172	session-1746-05-11-ordinaris-num-1-resolution-5
173	session-1740-03-28-ordinaris-num-1-resolution-8
174	session-1727-05-15-ordinaris-num-1-resolution-18
175	session-1721-12-16-ordinaris-num-1-resolution-7
176	session-1772-09-30-ordinaris-num-1-resolution-7
177	session-1770-02-26-ordinaris-num-1-resolution-8
178	session-1734-05-11-ordinaris-num-1-resolution-5
179	session-1733-08-15-ordinaris-num-1-resolution-7
180	session-1791-07-11-ordinaris-num-1-resolution-16
